活动类型,日期,我的最爱,标题,距离,热量消耗,时间,平均心率,最大心率,平均踏频,最大踏频,平均配速,最佳配速,平均步长,平均垂直比,平均垂直摆动,平均触地时间,Training Stress Score®,平均功率,最大功率,Grit,Flow,平均 Swolf,平均划桨率,总次数,潜水时长,最低温度,水面休息时间,减压,最佳单圈时间,圈数,最高温度,移动时间,全程用时,最低海拔,最高海拔
步行,2023-03-17 18:52:01,false,"步行","0.54","149","00:25:47","118","142","39","159","47:37","9:31","0.54","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","否","25:47.47","1","22.0","00:07:40","00:25:47","--","--"
步行,2023-03-17 11:57:11,false,"步行","0.91","72","00:13:28","91","101","88","185","14:51","9:10","0.76","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","否","13:27.63","1","22.0","00:09:01","00:13:28","--","--"
步行,2023-03-17 07:46:16,false,"步行","0.92","81","00:14:38","109","121","80","136","15:59","9:12","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","14.0","0:00","否","14:38.18","1","17.0","00:09:43","00:14:38","--","--"
步行,2023-03-16 22:10:40,false,"步行","1.21","44","00:17:06","65","80","91","160","14:06","8:36","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","15.0","0:00","否","17:06.04","1","20.0","00:12:15","00:17:06","--","--"
步行,2023-03-16 12:42:13,false,"步行","0.80","91","00:16:02","109","128","79","244","20:00","3:35","0.63","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","否","16:02.16","1","24.0","00:09:24","00:16:02","--","--"
步行,2023-03-16 08:02:49,false,"步行","1.00","79","00:14:15","109","134","90","206","14:12","5:42","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","17.0","0:00","否","14:15.08","1","21.0","00:09:55","00:14:15","--","--"
步行,2023-03-15 21:48:08,false,"步行","1.31","100","00:18:19","93","107","95","147","13:57","8:39","0.75","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","否","18:19.47","1","26.0","00:13:34","00:18:19","--","--"
步行,2023-03-15 07:44:11,false,"步行","1.14","88","00:15:12","111","120","94","160","13:22","8:51","0.79","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","23.0","0:00","否","15:12.38","1","25.0","00:10:59","00:15:12","--","--"
步行,2023-03-13 21:51:08,false,"步行","1.70","127","00:19:54","103","129","105","247","11:42","3:52","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","否","19:53.83","1","23.0","00:15:27","00:19:54","--","--"
步行,2023-03-13 18:33:49,false,"步行","1.21","123","00:19:54","122","146","78","233","16:26","3:10","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","否","19:53.73","1","21.0","00:11:53","00:19:54","--","--"
